Id,Designator,Package,Quantity,Designation,Supplier,Sup Ref,Manuf,Manuf Ref
1,D1,0805,1,"LED RED SMD 0805, <3.3Vf",,,,
2,J1,2.0mm JST SMD,1,2mm JST Battery Connector,Digikey,455-1749-1-ND,JST Sales America Inc.,S2B-PH-SM4-TB(LF)(SN) 
3,L1,0806,1,2.2UH-1A SMD 0806 Fixed Inductor,,,,
4,R1,0402,1,3.3K Ohm 0402 Resistor,,,,
5,R2,0402,1,2K Ohm 0402 Resistor,,,,
6,R3,0805,1,10K Ohm 0805 Resistor,,,,
7,"R4,R5",0805,2,22 Ohm 0805 Resistor,,,,
8,"R6,R7",0603,2,750K Ohm 0603 Resistor,,,,
9,R8,0603,1,100K Ohm 0603 Resistor,,,,
10,R9,0805,1,2.2K Ohm 0805 Resistor,,,,
11,USB1,MICRO-USB5+6P-SMD-0.65-AB,1,MICRO-USB-SMD-B-WITHOUT-POST-W_P_ST-USB-001G_,Digikey,609-4613-1-ND ,Amphenol FCI,10118192-0001LF
12,X1,X2-SMD-5.0X3.2X1.3MM,1,16MHZ Crystal 2-SMD,Digikey,535-9103-1-ND,Abracon LLC,ABM3-16.000MHZ-B2-T
13,"C1,C2",0805,2,4.7UF SMD 0805 cap,,,,
14,"C3,C4",0402,2,18PF SMD 0402 cap,,,,
15,C5,0603,1,0.1UF SMD 0603 cap,,,,
16,"C6,C7",0603,2,10UF SMD 0603 cap,,,,
17,C8,0603,1,22UF SMD 0603 cap,,,,
18,K1,SW4-SMD-6.0X6.0X5.0MM,1,SMD-SWITCH-TACTILE-SPST-NO_4P-D6.0MM_,Digikey,CKN9112CT-ND,C&K,PTS645SM43SMTR92 LFS
19,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10",APA102-2020,10,APA102,Witop,APA102-2020,,APA102-2020
20,U1,SOT-23-5,1,MCP73831,Digikey,MCP73831T-2ACI/OTCT-ND,Microchip Technology,MCP73831T-2ACI/OT
21,U2,TQFP44-0.8-9.6X9.6MM,1,MCU-ATMEGA32U4-AU_TQFP44_,Digikey,ATMEGA32U4-AURCT-ND,Microchip Technology,ATMEGA32U4-AUR
22,U3,MSOP-8_3x3mm_Pitch0.65mm,1,PAM2401,Digikey,PAM2401SCADJDICT-ND,Diodes Incorporated,PAM2401SCADJ
23,SW1,DPDT_SMD,1,Off / On,Digikey,401-2002-1-ND,C&K,JS202011SCQN
